Ano,Sexo,Total

2024-2,M,358
2023-1,M,331
2023-2,M,331
2024-1,M,330
2022-2,M,326
2022-1,M,311
2021-2,M,291
2021-1,M,280
2020-2,M,262
2020-1,M,253
2017-2,M,240
2018-2,M,238
2018-1,M,237
2017-1,M,235
2019-2,M,228
2016-2,M,227
2019-1,M,227
2016-1,M,217
2015-2,M,208
2015-1,M,206
2014-1,M,201
2013-2,M,197
2014-2,M,190
2013-1,M,184
2012-2,M,182
2012-1,M,174
2011-2,M,166
2011-1,M,142
2010-2,M,128
2010-1,M,117
2009-2,M,93
2024-2,F,80
2024-1,F,75
2022-2,F,69
2023-2,F,69
2023-1,F,67
2022-1,F,66
2021-2,F,64
2009-1,M,63
2021-1,F,53
2020-2,F,52
2020-1,F,44
2018-2,F,43
2016-2,F,41
2019-1,F,41
2018-1,F,40
2013-1,F,39
2019-2,F,39
2017-2,F,39
2017-1,F,38
2008-1,M,37
2008-2,M,37
2013-2,F,37
2014-2,F,35
2015-1,F,35
2016-1,F,35
2014-1,F,35
2015-2,F,34
2012-2,F,33
2012-1,F,29
2011-2,F,27
2011-1,F,24
2010-2,F,18
2010-1,F,18
2009-2,F,11
2009-1,F,8
2008-1,F,5
2008-2,F,5
