Ano,Sexo,Total
2011.1,M,41
2011.1,F,7
2011.2,M,77
2011.2,F,13
2012.1,M,120
2012.1,F,30
2012.2,M,160
2012.2,F,43
2013.1,M,200
2013.1,F,51
2013.2,M,242
2013.2,F,57
2014.1,M,275
2014.1,F,61
2014.2,M,305
2014.2,F,59
2015.1,M,324
2015.1,F,63
2015.2,M,353
2015.2,F,69
2016.1,M,371
2016.1,F,72
2016.2,M,393
2016.2,F,78
2017.1,M,423
2017.1,F,75
2017.2,M,430
2017.2,F,74
2018.1,M,434
2018.1,F,78
2018.2,M,442
2018.2,F,76
2019.1,M,451
2019.1,F,74
2019.2,M,466
2019.2,F,70
2020.1,M,501
2020.1,F,73
2020.2,M,546
2020.2,F,75
2021.1,M,580
2021.1,F,74
2021.2,M,613
2021.2,F,81
2022.1,M,649
2022.1,F,91
2022.2,M,684
2022.2,F,101
2023.1,M,694
2023.1,F,110
2023.2,M,711
2023.2,F,107
2024.1,M,713
2024.1,F,111
2024.2,M,758
2024.2,F,126
