Instituicao,Curso,F,M,T
UFF,Biomedicina,0,1,1
FAIR,Ciência da Computação,0,1,1
FUFTO,Ciência da Computação,0,1,1
UCM,Ciência da Computação,0,1,1
UEPI,Ciência da Computação,0,3,3
UERJ,Ciência da Computação,0,1,1
UFA,Ciência da Computação,0,4,4
UFES,Ciência da Computação,0,2,2
UFF,Ciência da Computação,6,47,53
UFJF,Ciência da Computação,0,7,7
UFMT,Ciência da Computação,1,3,4
UFOP,Ciência da Computação,0,3,3
UFPI,Ciência da Computação,1,6,7
UFRJ,Ciência da Computação,0,2,2
UFT,Ciência da Computação,0,1,1
UFV,Ciência da Computação,0,1,1
UGF,Ciência da Computação,0,1,1
UNIFESO,Ciência da Computação,0,1,1
UVA,Ciência da Computação,1,0,1
UFF,Ciência da Computação (RO),0,6,6
UERJ,Desenho Industrial,0,1,1
UNSAAC,Eng. de Sist. E Computação,1,0,1
CEFET-RJ,Engenharia Civil,0,1,1
UERJ,Engenharia Civil,0,2,2
IME,Engenharia de Computação,0,1,1
UFBA,Engenharia de Computação,0,1,1
UFES,Engenharia de Computação,0,1,1
UFF,Engenharia de Computação,0,1,1
UFOP,Engenharia de Computação,1,0,1
URP,Engenharia de Computação,0,1,1
UFF,Engenharia de Produção,0,2,2
UFF,Engenharia de Telecom,3,6,9
CEFET-RJ,Engenharia Elétrica,0,1,1
UERJ,Engenharia Elétrica,0,1,1
UFF,Engenharia Elétrica,1,3,4
UFRJ,Engenharia Elétrica,0,1,1
UNICAMP,Engenharia Elétrica,0,1,1
UNIFACS,Engenharia Elétrica,0,1,1
USU,Engenharia Elétrica,0,1,1
UERJ,Informática,1,2,3
UFF,Informática,0,1,1
UFJF,Informática,1,2,3
UFO,Informática,0,1,1
UNESA,Informática,2,1,3
UERJ,Matemática,0,3,3
UFF,Matemática,3,4,7
UFRRJ,Matemática,0,1,1
FACID,Sistemas de Informação,0,1,1
IMG,Sistemas de Informação,0,2,2
UFF,Sistemas de Informação,2,3,5
UNESA,Sistemas de Informação,0,2,2
UNIPAC,Sistemas de Informação,1,0,1
UNESA,Tecnologia em Jogos Digitais,0,1,1
IFPI,Tec. em Sistemas Comp.,0,1,1
UFF,Tec. em Sistemas Comp.,0,2,2
CEFET-RJ,Tecnólogo em Informática,1,2,3
FC,Tecnólogo em Informática,0,1,1
AESPI,Tecnólogo em Proc. de Dados,1,0,1
UEPI,Tecnólogo em Proc. de Dados,1,0,1
