Instituicao,Curso,Feminino,Masculino,Total
ITA,Ciência da Computação,0,1,1
UERJ,Ciência da Computação,0,1,1
UFF,Ciência da Computação,5,31,36
UFPE,Ciência da Computação,1,2,3
UFPR,Ciência da Computação,0,1,1
UFRN,Ciência da Computação,0,1,1
UFSC,Ciência da Computação,0,1,1
UFSM,Ciência da Computação,0,1,1
UFV,Ciência da Computação,0,1,1
UVA,Ciência da Computação,0,1,1
ULBRA,Ciências Matemáticas,1,0,1
UFRJ,Eng. de Sist. E Computação,1,0,1
UFPB,Engenharia de Produção,0,1,1
UFRN,Engenharia de Produção,0,1,1
UFRJ,Engenharia de Sistemas,0,1,1
UFF,Engenharia de Telecomunicações,0,2,2
UFC,Engenharia Elétrica,1,0,1
UFRJ,Engenharia Elétrica,1,0,1
UFOP,Engenharia Mineral,0,1,1
UFCG,Informática,0,1,1
UFPB,Informática,0,2,2
UFRJ,Informática,3,1,4
UNIRIO,Informática,1,0,1
UNICAMP,Matemática,1,0,1
UERJ,Modelagem Computacional,1,1,2
IME,Sistemas de Informação,0,1,1
UFMG,Sistemas de Informação,1,0,1
